year,effect,equation,support,society,population,differences,action,response,culture,work,problem,number,political,gender,cultural,system,model,life,theory,association,general,status,human,process,state,effects,committee,variables,behavior,black,individual,area,values,labor,relations,poverty,sociology,women,children,time,racial,role,level,science,class,power,employment,control,ties,public,countries,world,race,marriage,organization,attendance,education,students,variable,inequality,members,health,educational,development,organizations,participation,problems,job,research,social,low,income,occupation,occupational,structure,group,mobility,changes,paperbound,data,analysis,city,church,rates,change,family,ethnic,movement,market,percent,cohort,rural,men,workers,religious,weber,economic,groups,urban,models,relationship,age,white,measures,sex,crime,interaction,people,school,persons,information,community,college,capital,foreign,parents,justice,neighborhood,investment
1971,0,0,0,1690,0,0,0,0,0,2035,0,0,1687,0,0,1136,1025,875,1749,0,902,1071,0,0,0,0,0,973,1211,0,0,0,0,0,0,0,2187,0,0,969,0,0,0,0,1016,893,0,0,0,0,0,0,0,0,882,0,1047,0,0,0,0,0,0,952,0,0,1239,0,2073,6702,0,0,0,0,1002,978,0,0,1111,1904,1843,0,0,0,1417,1033,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,986,0,0,0,0,0,0,0
1972,480,0,0,595,570,0,0,0,0,672,0,751,989,0,0,0,814,0,766,0,0,1099,0,0,0,677,0,1002,491,0,0,0,0,493,0,0,798,0,0,461,0,0,0,0,508,0,0,0,0,0,0,0,0,0,472,0,0,0,521,0,0,0,0,0,0,0,0,0,868,2702,524,0,0,0,515,537,520,0,0,1113,874,0,0,0,682,529,0,0,0,0,0,0,0,0,0,0,0,518,0,0,0,0,0,0,0,0,497,0,0,0,0,0,0,0,0,0,0,0,0
1973,0,0,0,518,0,0,0,0,0,657,0,547,690,0,0,0,856,0,791,0,0,657,0,0,0,488,0,819,617,476,497,0,0,0,0,0,821,0,0,633,0,0,489,0,0,566,0,0,0,0,0,0,0,0,0,0,548,0,0,0,0,0,0,0,0,0,471,0,779,2472,0,489,0,516,480,664,0,0,0,1163,1080,0,0,0,568,0,0,0,0,0,0,0,0,0,0,0,0,684,0,0,0,519,0,0,0,0,0,0,0,0,0,616,0,0,0,0,0,0,0
1974,568,0,0,455,0,684,0,0,0,633,0,598,838,0,0,592,954,0,744,0,0,823,0,0,0,701,0,913,737,0,0,0,0,0,0,0,699,0,0,688,0,535,489,0,611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,892,2705,0,0,0,634,577,571,531,0,0,1227,925,462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,547,0,0,0,579,0,0,0,0,0,0,0,0,0,591,0,0,0,0,0,0,0
1975,598,0,0,0,0,514,0,0,0,544,0,590,0,0,0,460,1051,0,674,0,0,1201,0,490,0,889,0,795,480,0,454,0,0,0,0,0,473,589,0,749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,562,0,0,0,0,0,0,0,0,499,0,0,652,1771,0,0,512,693,573,0,894,0,0,1082,870,0,0,0,594,527,0,0,0,0,0,0,537,0,0,607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1976,724,0,0,0,583,633,0,0,0,776,0,701,592,0,0,0,1066,0,638,0,0,976,0,0,0,1062,0,1190,0,0,0,0,0,772,0,0,0,987,0,774,0,0,732,0,728,676,0,0,0,0,0,0,0,0,0,0,693,0,557,0,0,0,0,0,0,0,0,0,822,2139,0,790,0,694,620,597,0,0,0,1621,1352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,602,606,0,0,0,0,0,0,0,0,664,0,0,0,0,0,0,0
1977,579,0,0,0,0,575,0,0,0,617,0,614,584,0,0,0,1002,0,853,0,0,1419,0,0,0,760,0,751,595,0,0,0,0,651,0,0,0,516,0,769,0,0,558,0,1098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,816,2134,0,645,0,589,609,0,789,0,0,1066,1044,0,0,0,618,657,0,0,0,509,0,0,0,0,0,0,616,555,0,0,507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1978,960,0,0,0,0,767,0,0,0,718,0,576,572,0,0,0,868,0,770,0,0,1356,0,0,556,1076,0,1048,0,526,0,0,0,609,0,0,556,518,0,878,0,0,549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,527,0,0,0,0,0,0,0,0,0,922,2267,0,642,0,672,0,0,0,0,0,1269,1034,0,0,0,621,0,0,0,0,0,0,0,0,0,0,0,558,0,0,0,514,0,557,0,547,0,0,0,614,0,0,0,0,0,0,0,0,0,0
1979,643,0,0,0,817,731,0,0,0,845,0,718,734,0,0,0,695,0,769,0,0,882,0,0,0,894,0,1292,724,824,0,0,0,0,0,0,861,876,0,708,0,0,0,0,650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,597,0,0,0,0,0,0,0,920,2489,0,817,0,0,598,611,0,0,0,1349,1149,600,0,0,727,0,0,0,0,0,0,0,0,0,0,0,755,705,0,0,0,0,0,0,0,621,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,789,0,0,0,0,728,0,0,0,793,0,769,829,0,0,0,1402,0,1002,0,0,827,0,0,0,1019,0,1353,703,0,647,0,0,729,0,0,769,619,0,838,0,0,709,0,859,0,0,0,0,0,0,0,0,0,0,0,639,0,672,0,0,0,0,0,0,0,0,0,1378,2812,0,885,0,0,0,639,0,0,0,1596,1315,0,0,0,0,634,0,0,0,0,0,0,591,0,0,0,682,0,0,617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1981,784,550,0,0,772,774,0,518,0,0,0,728,553,0,0,0,1459,0,646,0,0,927,0,0,0,1294,0,1164,0,0,0,0,0,0,0,0,725,0,0,869,0,0,706,0,685,0,0,0,0,0,0,0,0,0,0,0,528,0,607,0,0,0,0,0,0,0,0,0,1085,2136,0,783,0,800,0,555,721,0,0,1389,1070,0,0,0,647,0,0,0,0,0,0,0,0,0,0,0,0,554,0,816,549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982,727,0,0,0,585,593,0,0,0,952,0,621,0,0,0,0,1042,0,845,0,0,1318,0,0,0,1188,0,1107,0,0,0,0,0,879,0,0,711,817,0,0,0,0,0,0,1051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1002,2411,0,612,0,627,623,648,819,0,0,1306,1252,0,0,0,0,0,0,0,0,709,0,0,0,587,0,0,642,587,0,0,0,834,0,581,0,0,0,0,637,0,0,0,0,0,0,0,0,0,0
1983,678,0,0,0,0,0,0,0,0,1130,0,636,892,0,0,0,1069,0,742,0,0,661,0,0,676,867,0,806,0,0,0,0,0,1215,0,0,668,1138,0,1044,0,0,0,0,541,0,0,0,0,0,0,0,0,0,0,0,555,0,0,0,0,0,0,0,585,0,0,566,881,2423,0,755,0,0,561,0,0,0,0,1088,967,0,0,0,702,693,0,0,0,0,0,0,624,0,0,0,942,620,0,0,0,683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984,861,0,0,0,0,587,0,0,0,1090,0,0,640,0,0,0,1147,0,611,0,0,955,0,0,0,1164,0,1263,0,657,0,0,0,926,0,0,719,1136,0,729,0,0,0,0,606,0,754,0,0,0,0,0,0,0,0,0,773,0,0,0,0,0,0,0,0,0,0,0,994,2617,0,0,0,0,0,0,758,596,0,1010,1074,0,0,0,696,823,0,0,0,610,0,0,0,0,0,0,640,0,0,627,0,938,0,0,0,0,0,0,592,0,0,0,0,0,0,0,0,0,0
1985,880,0,0,0,522,0,0,0,0,1072,0,559,915,0,0,0,1022,0,805,0,0,0,0,0,1009,1257,0,1075,0,0,0,0,0,740,0,0,587,0,0,798,0,0,605,0,699,0,0,597,0,0,0,0,0,0,0,0,712,0,0,0,0,0,0,622,0,0,0,0,888,2103,0,0,0,0,536,0,596,0,0,1141,914,0,0,0,571,0,0,0,0,556,0,0,0,0,0,0,810,0,0,586,0,718,0,0,0,0,0,0,599,0,0,0,0,0,0,0,0,0,0
1986,786,0,0,0,0,601,581,0,0,918,0,580,619,0,0,0,885,0,670,0,0,1078,0,0,0,1000,0,831,0,560,0,0,0,1169,0,0,751,646,0,730,0,0,0,0,776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1065,2810,0,0,0,0,0,648,0,0,0,996,1102,0,0,0,587,551,0,0,0,837,0,0,0,854,0,0,770,919,0,0,0,584,0,0,0,0,0,0,630,0,0,0,0,0,0,0,0,0,0
1987,983,0,0,0,834,708,0,0,0,798,0,0,833,0,0,0,1203,0,897,0,0,986,0,0,0,1368,0,1133,0,0,0,0,0,0,0,0,972,774,0,951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,634,0,0,0,0,0,0,0,0,0,1215,2416,0,0,0,0,628,604,625,0,0,1299,1021,0,0,0,836,668,0,0,0,723,661,0,610,0,0,0,639,691,0,616,0,1084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988,704,0,0,0,622,0,0,0,0,668,0,0,1068,0,0,0,1193,0,799,0,0,0,0,0,898,872,0,1019,633,0,0,0,0,660,0,0,889,934,0,625,0,0,749,0,0,0,0,598,0,0,0,0,0,0,0,0,676,0,0,0,0,0,0,663,0,0,0,0,1024,2353,0,646,0,0,588,736,628,0,0,1068,1048,0,0,793,0,0,0,0,0,874,0,0,0,0,0,0,1043,603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,879,0,745,0,796,0,0,0,0,931,0,742,1476,0,0,0,952,613,1025,0,0,0,0,0,1115,1240,0,1135,0,616,0,0,0,899,0,0,893,1043,0,822,0,0,0,0,0,631,0,0,0,0,0,0,0,0,0,0,0,0,671,0,0,0,0,0,0,0,0,0,1085,2451,0,0,0,0,0,636,0,0,0,1267,1173,0,0,589,0,0,0,0,0,971,0,0,0,575,0,0,823,713,0,0,0,722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990,944,0,0,0,0,0,0,0,0,1088,0,0,1004,0,0,0,1225,0,1125,0,0,0,0,0,1415,1142,0,832,0,0,0,0,0,1087,0,0,779,930,0,658,0,0,620,0,952,971,0,693,0,0,0,599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,938,853,2399,0,0,0,0,590,754,0,0,0,737,902,0,0,0,645,0,0,0,0,767,0,0,676,907,0,0,1188,0,0,606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991,672,0,0,0,0,0,0,0,0,1096,0,586,723,0,0,0,1370,0,598,0,0,782,0,0,1156,855,0,553,0,0,0,0,0,891,0,728,634,776,946,718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,573,0,0,0,0,0,605,0,0,0,0,597,824,2105,0,0,0,0,577,781,0,0,0,1000,702,0,0,0,0,1031,0,0,0,835,0,0,0,0,0,0,654,624,0,0,0,0,0,0,0,0,0,0,756,0,0,0,0,0,0,0,0,0,0
1992,832,0,0,0,0,0,0,0,0,800,0,537,667,0,0,0,1229,0,785,0,0,585,0,0,873,918,0,698,0,570,0,0,0,1199,0,0,846,597,0,0,0,0,0,0,777,0,0,649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,820,1962,0,0,0,0,584,644,0,0,0,763,863,0,0,648,0,0,0,0,640,862,0,0,579,497,0,0,794,669,0,0,0,0,0,0,0,0,0,0,638,0,0,0,0,0,0,0,0,0,0
1993,920,0,0,0,0,0,566,0,0,795,0,650,866,0,0,0,1139,0,802,0,0,0,0,0,1444,830,0,661,0,0,0,0,0,871,0,0,618,985,973,0,0,0,0,0,826,902,0,570,0,639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,751,2337,0,0,0,0,666,587,0,0,0,699,675,0,0,0,0,1039,0,0,0,826,0,0,0,799,0,0,770,579,0,0,0,581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994,699,0,0,0,0,581,0,0,0,862,0,0,1058,569,0,0,1136,0,744,0,0,0,0,0,691,900,0,789,0,622,0,0,0,933,0,0,653,1307,723,815,0,0,0,0,883,601,0,0,0,0,0,0,0,0,0,0,0,0,0,625,0,0,0,0,0,0,0,0,790,1833,0,747,0,0,0,0,0,0,0,792,764,0,0,0,0,0,802,0,0,1046,0,0,817,0,0,0,806,639,0,0,0,0,0,0,0,0,0,0,579,0,0,0,0,0,0,0,0,0,0
1995,1013,0,0,0,0,627,0,0,0,855,0,0,1032,919,0,0,1634,0,763,0,0,0,0,0,773,1051,0,981,0,0,0,0,0,1035,0,0,0,1566,0,594,0,0,0,0,1053,0,0,0,0,0,618,0,0,0,0,0,815,0,0,757,0,674,0,0,0,0,0,0,734,2175,0,652,0,0,0,0,0,0,0,962,817,0,0,0,614,0,0,0,0,849,0,0,867,609,0,0,1092,0,0,615,0,642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,686,0,0,0,0,0,0,0,0,876,0,743,839,0,0,0,1171,0,790,0,0,0,0,0,946,934,0,753,0,0,0,0,0,655,0,0,671,1160,0,695,832,0,0,0,0,803,0,674,0,0,0,0,688,0,0,0,0,0,0,0,628,0,0,0,0,0,0,0,866,2641,0,895,0,0,0,938,0,0,0,915,742,0,0,0,722,823,0,0,0,1073,0,0,0,0,0,0,1027,900,0,0,0,0,0,0,0,0,0,0,657,0,0,0,0,0,0,0,0,0,0
1997,821,0,0,0,0,0,0,0,0,879,0,700,873,779,635,0,1403,0,0,0,0,0,0,0,734,940,0,713,0,685,0,0,0,782,0,0,709,1599,729,590,0,0,0,0,0,782,0,0,582,0,0,0,0,0,0,0,585,0,0,0,0,0,0,0,0,0,0,661,730,2791,0,0,0,0,0,0,0,0,0,846,656,0,0,0,906,0,0,625,0,842,0,0,726,0,0,0,661,0,0,631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,670,0,0,0,0,714,0,0,0,665,0,0,0,588,0,0,1430,0,726,0,0,1183,0,0,584,864,0,697,0,683,0,0,0,0,0,0,591,1288,557,723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,522,0,0,0,0,0,0,0,0,0,0,0,0,992,2337,0,492,0,0,0,727,0,0,0,946,585,0,582,542,592,774,0,0,0,911,0,0,567,0,609,0,0,0,0,0,0,667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,1018,0,0,0,0,0,0,0,0,554,0,0,0,0,0,0,1347,0,0,0,0,0,0,0,594,1130,0,773,0,0,0,0,0,0,0,0,0,700,824,595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,597,0,0,0,569,0,0,0,0,740,2307,0,863,0,0,0,700,0,0,0,1062,848,0,0,0,552,891,0,0,0,939,0,0,0,0,0,0,998,0,0,654,0,1070,0,0,0,0,0,0,565,0,0,0,0,591,536,640,550,519,533
